Project Gutenberg Kids Books,Languages,,,,,,,,,,,,,,,
https://www.gutenberg.org/wiki/Children%27s_Literature_(Bookshelf),da,de,el,en,eo,es,fi,fr,hu,it,la,nl,pt,sv,tl,zh
,,48689,37641,,,14318,47807,57584,,49219,,19490,42942,,,27291
,,56064,34851,,,39446,16326,37577,,48769,,31978,28154,,,26904
,,24017,39382,,,55563,56193,27380,,46723,,48239,17515,,,7209
,,9065,31435,,,53867,52508,44373,,46494,,19072,29213,,,7376
,,29946,37352,,,44112,43430,44958,,29871,,18072,28341,,,25214
,,44366,27896,,,52597,23890,52332,,17986,,35741,36560,,,57227
,,50911,36688,,,55916,36920,19075,,37776,,31239,30777,,,27768
,,7944,39073,,,14307,56786,58084,,48542,,27489,22395,,,52269
,,38281,42512,,,50526,54174,12230,,27720,,43560,23687,,,25287
,,57044,37395,,,17013,49076,38643,,42669,,44157,33752,,,25259
,,57677,37131,,,13458,54668,31054,,48926,,51345,32791,,,4575
,,40294,39007,,,28281,50587,13771,,43184,,35250,25240,,,7286
,,48618,32529,,,52795,28965,24217,,46997,,45355,30456,,,27023
,,46083,28658,,,15127,52253,13734,,19883,,38668,34286,,,7483
,,28938,31653,,,41842,48176,55605,,49420,,11591,45966,,,24144
,,57909,27301,,,26028,50599,29049,,46599,,28872,22898,,,25365
,,3298,34851,,,20099,52536,26823,,50306,,27883,16443,,,2090
,,44642,29836,,,51019,34809,38912,,46847,,49879,19663,,,25226
,,40230,40935,,,51711,57257,30518,,46736,,27656,53101,,,26904
,,34032,29833,,,28542,34241,20664,,45566,,39035,30946,,,24294
,,48345,39764,,,52682,54588,29613,,56943,,45355,21289,,,23949
,,39763,32815,,,5880,15340,46718,,18046,,52549,22742,,,27105
,,54560,34820,,,7109,55938,28427,,26453,,34899,40093,,,27204
,,24746,17995,,,49258,48725,28211,,38578,,38920,32002,,,27185
,,40138,38800,,,24536,47393,30978,,26961,,44157,46860,,,25321
,,29796,31433,,,26314,17931,54202,,49337,,31126,24957,,,7340
,,57661,27816,,,47103,42565,19219,,43690,,43105,31576,,,26904
,,57076,31854,,,54283,56786,17493,,46996,,26127,22969,,,24027
,,33548,38524,,,29920,16694,4935,,43024,,21409,22509,,,25280
,,57465,30614,,,15532,48145,46350,,25210,,39008,24412,,,23878
,,6525,31443,,,40182,53789,18029,,9302,,33075,35325,,,27459
,,49576,32660,,,48945,53546,18918,,50306,,56760,19532,,,25194
,,36076,38915,,,49417,49730,39738,,29409,,37749,26017,,,25284
,,23396,38055,,,39579,50599,55638,,10502,,33563,24847,,,24051
,,9950,28626,,,58194,54390,44310,,20639,,13326,37757,,,24226
,,51360,32549,,,18600,16068,11495,,28869,,16829,29997,,,25162
,,21141,42598,,,44112,50251,39694,,47566,,19072,20149,,,23834
,,54357,36095,,,24208,46655,51373,,38360,,16642,26110,,,52206
,,9044,42511,,,16372,56898,57584,,57561,,20951,24853,,,25218
,,48502,32214,,,45183,20882,38258,,40817,,2838,23620,,,25196
,,31001,,,,46771,13850,25526,,29036,,30592,24164,,,24075
,,6725,,,,49836,12906,54421,,42778,,39181,33068,,,7337
,,5323,,,,54285,47145,42615,,36212,,10820,11299,,,24169
,,43078,,,,22909,25233,27040,,51706,,20128,31575,,,25250
,,37267,,,,17974,29769,58706,,49837,,14121,30926,,,52323
,,57915,,,,49413,27140,34332,,50697,,45055,18628,,,25251
,,29746,,,,45770,51044,17098,,46887,,17539,31695,,,38580
,,14962,,,,33809,58240,48878,,42610,,8468,30404,,,7270
,,47710,,,,26508,48159,13765,,13627,,28963,14621,,,24295
,,45861,,,,50430,50314,13952,,22501,,55794,21780,,,24052
,,55791,,,,52595,21548,45633,,30030,,21946,24411,,,7312
,,28411,,,,5881,19210,11622,,46999,,44510,20701,,,26729
,,19795,,,,31707,13580,54482,,48717,,28469,16111,,,52205
,,57078,,,,55215,20145,11590,,56500,,27783,25593,,,25368
,,54837,,,,51569,34908,18672,,41600,,26696,28341,,,25376
,,30753,,,,16059,16391,18311,,51706,,39354,23203,,,23981
,,12266,,,,5877,58779,15844,,20062,,11207,57895,,,25460
,,6649,,,,25956,19210,34119,,44763,,49828,55682,,,7218
,,19675,,,,50437,54342,39429,,19558,,55794,17186,,,7285
,,36310,,,,16625,46575,38867,,30984,,25425,30859,,,30544
,,37579,,,,41106,53266,35718,,50643,,48316,31093,,,25289
,,3063,,,,41161,50891,28578,,46214,,18066,31906,,,24143
,,31213,,,,55215,48073,39256,,58247,,45696,26325,,,25228
,,48234,,,,27326,53195,19631,,46888,,23796,29995,,,27023
,,47322,,,,16961,15023,36704,,43217,,42885,21961,,,57227
,,56382,,,,11529,28685,14115,,27428,,48449,24291,,,25161
,,36918,,,,320,35767,57584,,52954,,48607,26371,,,25329
,,24899,,,,25812,54517,12487,,19427,,31580,20149,,,26922
,,9491,,,,52392,53554,24915,,34066,,43560,21855,,,27582
,,55487,,,,58221,17313,24243,,3747,,33640,23621,,,24049
,,55159,,,,43950,56224,33851,,18008,,26443,16214,,,7273
,,49722,,,,56452,18354,32509,,39239,,17305,32020,,,7219
,,2188,,,,51721,18808,33699,,56482,,56702,25846,,,24004
,,9875,,,,44112,50867,46557,,33982,,38229,8698,,,49965
,,37716,,,,58275,53181,19842,,51400,,17432,22616,,,23835
,,15787,,,,57955,50172,20564,,14370,,42878,25114,,,25422
,,49250,,,,45250,58428,36814,,45803,,55875,33588,,,25332
,,19636,,,,27695,18201,27036,,41342,,25139,25840,,,23864
,,37202,,,,53588,10941,44403,,57780,,18305,30543,,,26161
,,22159,,,,12368,39096,17234,,51463,,22555,29347,,,26921
,,45644,,,,20159,20960,45692,,27358,,42861,16425,,,24162
,,31537,,,,16201,49404,16649,,43460,,52476,20508,,,38580
,,49871,,,,57675,56446,29950,,38204,,39181,14503,,,27415
,,42651,,,,29105,20882,25575,,49346,,27124,33817,,,25323
,,46267,,,,17443,20501,43321,,46725,,26846,33749,,,27165
,,34785,,,,34565,56879,34918,,10273,,12070,25667,,,25288
,,24266,,,,24988,16620,11766,,45222,,20331,31573,,,27122
,,6924,,,,58643,54802,19604,,49599,,53367,34289,,,25248
,,57853,,,,47092,12612,24962,,47046,,18928,25241,,,51620
,,44298,,,,46496,52158,31260,,49599,,11208,13092,,,24038
,,52183,,,,13492,57930,46604,,1000,,45355,23345,,,24264
,,44272,,,,33885,18393,58090,,45126,,54412,24245,,,7272
,,31658,,,,55917,50409,11964,,21422,,29507,12579,,,26886
,,7860,,,,48652,51309,20864,,11492,,27659,20582,,,24184
,,53061,,,,13519,52981,12949,,49807,,20957,24845,,,25498
,,48527,,,,44112,31058,27566,,10275,,44863,31657,,,4573
,,49908,,,,30175,48979,38737,,27433,,45767,27544,,,23906
,,2054,,,,37067,57553,54498,,38217,,27972,17591,,,24231
,,55487,,,,46246,51124,28930,,51036,,48384,15668,,,7418
,,46767,,,,51130,28095,13950,,37054,,21875,24533,,,52278
,,3215,,,,34091,51401,53722,,57160,,55820,27689,,,27328
,,58144,,,,52262,17529,13951,,57951,,45043,22615,,,27088
,,31538,,,,26231,46638,26822,,57082,,18319,32380,,,25169
,,10256,,,,54861,45739,42765,,43803,,47933,27992,,,23877
,,29530,,,,5985,44944,15790,,45903,,55485,31696,,,27059
,,29530,,,,52050,20799,35163,,59064,,17082,32378,,,24224
,,41818,,,,45180,49926,26721,,27334,,17706,24846,,,25225
,,13921,,,,30903,19873,35871,,57040,,39736,22870,,,54784
,,30570,,,,58916,45999,39325,,43179,,46263,27413,,,25324
,,54597,,,,10825,33949,57584,,52259,,56760,23621,,,27207
,,33726,,,,51858,53313,32854,,30839,,43228,36163,,,25260
,,57079,,,,40724,47100,52893,,46463,,25258,23156,,,25315
,,24249,,,,50365,34746,45650,,45565,,54118,28399,,,43010
,,41907,,,,33809,48777,41486,,43486,,27658,52847,,,27184
,,58989,,,,53741,49758,29539,,47102,,32834,22412,,,25219
,,53493,,,,30122,46785,41991,,27919,,27956,24190,,,23822
,,42900,,,,28408,52000,57584,,42777,,8100,45461,,,25271
,,45937,,,,49259,54447,16067,,29325,,55488,28354,,,23827
,,57187,,,,15781,13318,53737,,48727,,24008,29342,,,25125
,,45352,,,,41106,43072,20973,,50442,,57697,24319,,,7290
,,6421,,,,29706,53076,30582,,40818,,50018,21290,,,23822
,,44250,,,,15781,36328,21124,,49365,,40808,19947,,,27858
,,35339,,,,47784,36863,18059,,47480,,16043,30947,,,26888
,,7292,,,,19643,52735,55423,,17834,,17339,32379,,,25369
,,12075,,,,52857,25613,23801,,32193,,44506,15047,,,24106
,,47142,,,,12502,17975,57403,,28325,,19072,16384,,,27108
,,55578,,,,42642,13849,40902,,57883,,19072,34624,,,25397
,,7236,,,,28002,50019,25403,,27091,,31297,33238,,,23911
,,59046,,,,52837,52108,18826,,46082,,26299,28206,,,7288
,,49268,,,,5879,53615,17692,,48625,,34955,30806,,,57278
,,52486,,,,31613,29708,40694,,45220,,20665,31654,,,23839
,,34806,,,,38836,50168,34608,,52484,,27309,34625,,,26887
,,48919,,,,46196,53782,37987,,42673,,34555,17177,,,7330
,,43078,,,,24466,13681,15558,,29874,,56561,32868,,,7329
,,50252,,,,42440,54126,42554,,43458,,29712,21287,,,56202
,,55565,,,,29301,54457,16710,,17908,,49164,29243,,,7331
,,55580,,,,15054,38988,18983,,19808,,36381,28640,,,26748
,,51517,,,,9980,57902,41116,,45647,,13902,19375,,,23950
,,27891,,,,11070,45333,10824,,39541,,14826,29996,,,26746
,,16264,,,,27900,48692,30906,,43115,,27335,36404,,,25393
,,2499,,,,16059,20545,31988,,18457,,54227,32790,,,26970
,,53037,,,,37067,58130,47133,,40885,,16569,21779,,,26738
,,50277,,,,14235,37061,47680,,43285,,26102,17186,,,23823
,,52191,,,,47584,37830,52376,,24072,,27671,30070,,,25237
,,2420,,,,42023,50728,27854,,48600,,35924,38496,,,25350
,,27973,,,,5201,20114,26634,,53350,,15037,21567,,,25392
,,31856,,,,58103,10480,57584,,17847,,34898,24289,,,7220
,,43913,,,,20930,53693,20457,,35804,,52542,25690,,,30465
,,22630,,,,5877,52527,13024,,15139,,44204,23620,,,25557
,,37994,,,,40420,53392,53805,,42411,,50789,32001,,,25217
,,48765,,,,30213,58742,38842,,49062,,52315,27155,,,43009
,,31216,,,,15334,47481,39016,,54178,,35885,23346,,,25517
,,42670,,,,28904,54174,41054,,43802,,44811,31693,,,24068
,,50965,,,,12848,57105,43784,,42237,,10113,27535,,,25348
,,48287,,,,38814,49189,7770,,25318,,34048,32645,,,27414
,,50197,,,,12435,42349,29476,,53485,,37117,27350,,,7456
,,36227,,,,54791,27227,13914,,42643,,14850,33838,,,25366
,,44528,,,,51689,58234,57360,,15136,,30751,34961,,,12479
,,45569,,,,29105,19372,17641,,28372,,26554,26988,,,52276
,,51349,,,,54436,56272,14192,,46164,,33822,22299,,,38580
,,54759,,,,25777,44871,18920,,11724,,27883,27443,,,27263
,,22413,,,,58425,54458,11380,,17874,,22481,17005,,,54567
,,46908,,,,51019,54192,35643,,25211,,55488,28201,,,25131
,,8803,,,,56219,23793,33807,,36727,,19072,20149,,,25192
,,52370,,,,57828,49647,13837,,34641,,40942,34274,,,23909
,,3212,,,,47287,49404,18627,,25199,,52477,31744,,,25362
,,49311,,,,16109,56116,25382,,47278,,18236,24748,,,7420
,,21145,,,,56010,49868,20790,,56482,,25319,26776,,,12407
,,50574,,,,38885,47210,33595,,25211,,30229,27715,,,27082
,,9160,,,,53589,52536,27281,,29037,,33719,40093,,,27331
,,49934,,,,15353,28095,14683,,56794,,17580,23526,,,26876
,,59081,,,,57960,53066,15058,,28231,,14559,20482,,,49965
,,40733,,,,20738,53633,22575,,9641,,11467,16218,,,54494
,,54762,,,,12368,55573,28397,,34352,,16701,30945,,,27087
,,43903,,,,12275,20514,40025,,45216,,33981,23145,,,52270
,,2313,,,,29799,55641,24305,,33982,,42433,25436,,,24110
,,55892,,,,23957,13663,38385,,27158,,18381,33182,,,23843
,,58641,,,,33406,13308,13221,,34640,,15497,53463,,,25160
,,29102,,,,9980,49974,34422,,17853,,37093,44211,,,27123
,,10914,,,,41853,58326,34445,,28355,,17079,30068,,,24058
,,16301,,,,20401,50829,25694,,28910,,45486,52170,,,7367
,,22738,,,,25255,33138,57584,,22506,,15273,33788,,,25543
,,32008,,,,50126,45333,48518,,45638,,30229,32156,,,25279
,,52602,,,,36558,39418,39719,,43171,,42935,14622,,,25252
,,38754,,,,58910,52253,22971,,24072,,47668,27762,,,25245
,,44784,,,,12503,48679,29937,,46352,,37828,22679,,,23982
,,8961,,,,24801,58156,57892,,10278,,22491,20999,,,20968
,,31660,,,,18289,50375,20079,,32263,,24630,26411,,,23867
,,43392,,,,37095,38473,55423,,50674,,25946,17036,,,
,,21801,,,,26231,20272,57866,,14370,,16841,32380,,,
,,15736,,,,47631,54890,39153,,47051,,48178,27691,,,
,,24206,,,,46000,53328,58476,,42513,,21409,29740,,,
,,45798,,,,48857,52554,15593,,19430,,28582,25925,,,
,,50003,,,,48654,37847,28210,,48542,,14269,30805,,,
,,48064,,,,44529,47381,5105,,25209,,42293,27497,,,
,,52117,,,,48903,58291,57584,,43173,,16590,22772,,,
,,55188,,,,13264,54052,34389,,10272,,17432,28055,,,
,,33821,,,,41789,35011,17533,,50697,,36225,25148,,,
,,52892,,,,55139,31958,28286,,56352,,26564,23621,,,
,,15813,,,,16059,14349,9893,,40299,,30929,35324,,,
,,46073,,,,10814,39058,15848,,21425,,21924,26411,,,
,,57674,,,,52795,47407,27878,,47461,,11318,34626,,,
,,51208,,,,25687,45739,34528,,38140,,22722,34291,,,
,,21593,,,,11663,18474,18890,,30878,,19585,27084,,,
,,20050,,,,22092,17127,28113,,43023,,44157,31740,,,
,,14340,,,,57035,48139,19045,,43193,,29208,32381,,,
,,10823,,,,36805,58177,28789,,42541,,18243,29998,,,
,,16279,,,,35905,50264,53082,,46981,,44507,35073,,,
,,9159,,,,46496,11968,56393,,27640,,10819,24455,,,
,,19760,,,,54423,45257,29094,,37936,,30936,26326,,,
,,36793,,,,21143,23543,42186,,49902,,47497,27941,,,
,,54832,,,,29731,52675,54972,,29977,,51416,24625,,,
,,48567,,,,23236,45783,15646,,51706,,42260,30359,,,
,,46899,,,,24917,48424,39156,,58353,,30658,24646,,,
,,44677,,,,11669,14862,19984,,47051,,19774,18974,,,
,,47733,,,,54120,46502,18358,,46126,,49828,29275,,,
,,52916,,,,16082,52526,19186,,42588,,48113,57895,,,
,,27483,,,,40827,24381,19662,,17852,,18877,34622,,,
,,26686,,,,9895,53921,33205,,42698,,24773,26338,,,
,,58306,,,,48302,53543,17950,,51526,,36381,14296,,,
,,32814,,,,12840,48369,38868,,38628,,42885,19641,,,
,,23313,,,,41884,47985,42695,,53184,,44157,23620,,,
,,53459,,,,52837,48640,21856,,42577,,57772,30571,,,
,,48853,,,,16625,57051,55501,,10215,,27994,31347,,,
,,19380,,,,44112,55037,58290,,46295,,33764,25330,,,
,,6637,,,,48093,44839,12504,,44797,,42903,22730,,,
,,52556,,,,52502,46589,37201,,25178,,15682,34287,,,
,,43361,,,,16119,50740,58251,,33865,,3455,14904,,,
,,18733,,,,40827,53570,9891,,43178,,18929,30510,,,
,,9326,,,,44309,52186,18108,,51624,,28195,29529,,,
,,6504,,,,13216,58724,49878,,56498,,28182,27541,,,
,,46594,,,,29677,13428,12356,,7459,,14088,21563,,,
,,17161,,,,28967,51618,2999,,43458,,46936,20783,,,
,,52118,,,,31707,45500,23047,,14370,,14826,23442,,,
,,47711,,,,29576,50135,18446,,43459,,25580,29804,,,
,,36172,,,,36986,14212,16066,,47114,,20060,58689,,,
,,50887,,,,12500,23342,54983,,26701,,25554,17193,,,
,,20613,,,,51724,49487,57745,,48333,,34687,30921,,,
,,3223,,,,31066,52496,27046,,30164,,41675,23620,,,
,,9187,,,,21282,47095,14288,,21683,,48113,22015,,,
,,51901,,,,57261,55516,16887,,35321,,44088,23621,,,
,,35547,,,,10236,56680,25394,,46867,,36117,24619,,,
,,53322,,,,53837,19670,47720,,27979,,25257,35762,,,
,,38947,,,,29830,51033,12949,,45217,,38211,28962,,,
,,46021,,,,45830,50541,50997,,14370,,29719,32873,,,
,,31114,,,,58331,53195,18864,,46749,,22686,34290,,,
,,56641,,,,29640,58999,13794,,25211,,8804,31741,,,
,,47341,,,,25687,40761,45213,,42775,,20542,27310,,,
,,47608,,,,47768,51501,17541,,42373,,25580,29884,,,
,,40317,,,,53590,52537,14537,,19429,,57772,18082,,,
,,29006,,,,41161,57163,15811,,18088,,31849,28691,,,
,,49209,,,,26655,50722,14705,,25210,,29967,24129,,,
,,37229,,,,53947,31812,19738,,49310,,25515,22647,,,
,,35967,,,,47287,36466,30949,,17896,,36973,27940,,,
,,3219,,,,5201,50279,23484,,37900,,52188,22469,,,
,,3213,,,,33474,52277,11178,,46717,,49554,28399,,,
,,47861,,,,28592,56754,47042,,44714,,45431,30341,,,
,,38295,,,,15531,53999,17577,,47665,,49910,29428,,,
,,46778,,,,28408,48460,8541,,54301,,56977,24691,,,
,,51535,,,,13608,53392,33693,,46704,,17080,28127,,,
,,37435,,,,58865,58208,13598,,49105,,20908,34964,,,
,,55881,,,,44112,48867,16020,,46466,,31126,32586,,,
,,54679,,,,41106,46910,36812,,40299,,57697,24919,,,
,,36363,,,,36805,20517,11714,,27791,,29526,17534,,,
,,52879,,,,40810,48380,27283,,10275,,42293,34388,,,
,,48488,,,,12368,28290,23279,,36239,,52315,27725,,,
,,31164,,,,48783,14649,22384,,43182,,31954,16214,,,
,,27891,,,,54934,48463,39031,,48913,,33308,39086,,,
,,42339,,,,13507,34310,11300,,43860,,45707,31743,,,
,,15813,,,,27326,44265,7012,,46355,,42935,26676,,,
,,27220,,,,36453,48209,9645,,48490,,35220,14622,,,
,,52556,,,,47388,26179,19497,,17836,,15039,17610,,,
,,15813,,,,43400,45373,39360,,30032,,20867,25845,,,
,,50901,,,,37637,53528,39449,,47889,,41439,20495,,,
,,46411,,,,5201,19047,58299,,51324,,28120,24847,,,
,,46086,,,,43493,33493,17714,,1009,,12756,30566,,,
,,29941,,,,39930,56030,51666,,41948,,6712,33592,,,
,,37202,,,,25988,19178,36436,,46100,,26100,33276,,,
,,40789,,,,14795,57948,44617,,20182,,10400,22970,,,
,,10271,,,,40827,47160,28151,,58248,,48316,23620,,,
,,50979,,,,25988,16621,37771,,25181,,42443,29394,,,
,,49088,,,,27035,49623,15296,,48850,,19091,25987,,,
,,54671,,,,50757,55552,47414,,46957,,51691,26777,,,
,,38780,,,,56454,53209,49399,,47069,,29235,25479,,,
,,48450,,,,58221,50337,29539,,48672,,11209,22729,,,
,,47152,,,,20852,52503,43789,,42847,,29095,32793,,,
,,46368,,,,48091,16837,45979,,45594,,14580,39107,,,
,,48639,,,,33227,55848,27625,,42848,,16063,26915,,,
,,41390,,,,30535,17924,51725,,37720,,17139,17927,,,
,,7043,,,,53930,52198,12472,,51706,,21925,32295,,,
,,18620,,,,27736,20466,44696,,43172,,11024,34621,,,
,,9861,,,,48903,19125,34783,,58479,,26530,25667,,,
,,37266,,,,31544,45145,13598,,51706,,39717,27637,,,
,,59081,,,,58545,47101,35151,,21424,,29289,39992,,,
,,28219,,,,55915,23704,35343,,38082,,50300,21799,,,
,,2321,,,,21651,52989,34451,,49510,,31120,34288,,,
,,47153,,,,46201,47104,49813,,19428,,17337,27311,,,
,,35569,,,,40595,36392,47345,,29977,,20128,22658,,,
,,30165,,,,44112,34087,12865,,49079,,13585,24843,,,
,,44049,,,,5878,34310,28718,,50647,,16045,27540,,,
,,44868,,,,44112,48172,49783,,53801,,48493,23486,,,
,,20211,,,,18580,52918,57547,,58505,,48104,18982,,,
,,8925,,,,53413,52336,43310,,22642,,10334,27543,,,
,,31625,,,,49333,57285,39589,,20094,,52542,28122,,,
,,53553,,,,41106,48416,44142,,50646,,27664,17962,,,
,,46979,,,,14235,57956,20440,,36212,,14507,32296,,,
,,52985,,,,27035,12547,14343,,42881,,25495,44540,,,
,,47798,,,,53405,51766,38618,,51323,,50733,29435,,,
,,50616,,,,57035,13165,29523,,22499,,57730,27387,,,
,,7043,,,,44112,10492,40399,,42416,,24448,24657,,,
,,2190,,,,30052,24511,13794,,48624,,21922,34275,,,
,,47710,,,,27100,16481,38400,,37099,,16043,14296,,,
,,49085,,,,45833,50452,23654,,25614,,54118,32387,,,
,,9157,,,,18784,46922,20894,,45215,,45254,17639,,,
,,46308,,,,51458,35257,57992,,47888,,22640,27388,,,
,,24820,,,,36318,48434,16824,,43460,,27241,32870,,,
,,3208,,,,53131,8494,32640,,25211,,13595,30462,,,
,,36905,,,,47631,14152,48830,,36060,,36294,33377,,,
,,55026,,,,19106,48957,46876,,48445,,16970,28584,,,
,,19733,,,,11081,52536,14677,,48779,,35806,28348,,,
,,23740,,,,22975,52525,49574,,45653,,31198,7384,,,
,,53689,,,,16484,39756,52797,,46297,,49910,29898,,,
,,27220,,,,28408,26689,25734,,26169,,26349,25593,,,
,,9375,,,,10814,54126,8416,,45219,,34993,22802,,,
,,47472,,,,57505,44482,48383,,42849,,57698,22648,,,
,,57809,,,,14235,43941,38244,,51587,,27634,46334,,,
,,27483,,,,54430,51791,36635,,57822,,17076,36927,,,
,,3219,,,,55448,45056,24549,,48114,,44506,49367,,,
,,50681,,,,20738,51673,34633,,36165,,15056,23590,,,
,,48919,,,,26404,49689,24962,,46031,,50677,25987,,,
,,22628,,,,16670,16262,30013,,31079,,45875,24774,,,
,,3222,,,,5201,56093,46891,,22641,,18120,21082,,,
,,51208,,,,38885,49737,51515,,44170,,36680,30858,,,
,,39678,,,,51458,45889,13834,,36212,,38975,15674,,,
,,46180,,,,9980,42565,50655,,44355,,38919,16219,,,
,,24249,,,,36253,14724,16709,,48943,,2839,30068,,,
,,26972,,,,26929,51577,38737,,40328,,27486,23109,,,
,,41306,,,,55796,47932,57193,,46613,,2840,34719,,,
,,21000,,,,49013,20021,48687,,19887,,13326,16219,,,
,,55914,,,,20029,45284,40422,,32096,,24830,23621,,,
,,54555,,,,54064,16893,50154,,19885,,25296,20581,,,
,,49084,,,,27757,49552,35732,,40917,,43105,36608,,,
,,32100,,,,26284,53511,52635,,40377,,18850,29567,,,
,,23228,,,,44112,50065,30602,,25285,,44157,,,,
,,50681,,,,23239,50942,16128,,46162,,53492,,,,
,,50234,,,,55514,38192,17746,,51036,,14160,,,,
,,53232,,,,24917,12379,50594,,30771,,29856,,,,
,,57807,,,,29640,49909,13735,,56498,,43919,,,,
,,7232,,,,5201,41482,51214,,39704,,59119,,,,
,,18255,,,,44918,50065,29651,,25179,,38422,,,,
,,53514,,,,29511,47590,19956,,58615,,35219,,,,
,,50234,,,,52795,57183,27617,,52484,,31954,,,,
,,52628,,,,54522,58521,45176,,35800,,53933,,,,
,,55026,,,,16119,54739,37096,,16489,,58515,,,,
,,49199,,,,29703,50537,18353,,46599,,13698,,,,
,,6698,,,,44112,57363,32963,,47276,,14112,,,,
,,38972,,,,19847,55853,37896,,48576,,24649,,,,
,,55874,,,,24802,53282,14258,,45595,,18381,,,,
,,46184,,,,58375,37008,18263,,7817,,31059,,,,
,,29514,,,,33267,28238,35151,,34969,,19054,,,,
,,15813,,,,27695,48825,18864,,43804,,33563,,,,
,,46550,,,,17341,41441,18491,,17849,,39039,,,,
,,54690,,,,11302,55184,19440,,42448,,25580,,,,
,,6498,,,,51569,46910,48590,,43511,,17523,,,,
,,9491,,,,10814,50239,29781,,30996,,17484,,,,
,,52892,,,,49660,48047,8524,,33784,,28029,,,,
,,48798,,,,44112,48255,4718,,40819,,44758,,,,
,,33266,,,,33461,16582,40625,,52744,,33640,,,,
,,23932,,,,11598,17312,57584,,48398,,32694,,,,
,,26444,,,,35882,56915,49773,,46996,,33297,,,,
,,13810,,,,57654,37835,35971,,44365,,20056,,,,
,,41318,,,,13516,48595,20562,,58296,,37789,,,,
,,47251,,,,44584,21265,45655,,50648,,36716,,,,
,,49083,,,,29301,45258,33832,,43360,,54838,,,,
,,47311,,,,57654,54110,44620,,26866,,13378,,,,
,,53459,,,,40827,53047,22918,,50642,,44758,,,,
,,53232,,,,9980,13173,27904,,25605,,31310,,,,
,,15813,,,,44112,46325,57584,,47074,,16062,,,,
,,56586,,,,12457,53505,28249,,21424,,30751,,,,
,,39276,,,,27738,53329,52707,,54352,,38426,,,,
,,38126,,,,26078,52676,33069,,44714,,55929,,,,
,,36779,,,,47287,8669,58244,,42505,,42269,,,,
,,53962,,,,26845,18624,23589,,55236,,17644,,,,
,,57909,,,,33275,56224,57584,,45227,,28582,,,,
,,36862,,,,18798,53326,16819,,23297,,12009,,,,
,,32358,,,,58221,56882,26336,,48445,,23925,,,,
,,29806,,,,17491,52284,26476,,41555,,18221,,,,
,,3212,,,,53867,55227,19588,,49670,,34638,,,,
,,35826,,,,44358,12382,16236,,28371,,11393,,,,
,,45191,,,,38836,57281,42798,,37123,,57222,,,,
,,58190,,,,39947,17846,57584,,41821,,29837,,,,
,,12053,,,,10909,52470,35919,,28786,,47973,,,,
,,52016,,,,41106,46569,56997,,56431,,24425,,,,
,,46939,,,,16109,53008,27623,,29035,,20957,,,,
,,7185,,,,25320,52705,14030,,38216,,42903,,,,
,,52725,,,,49418,51327,31176,,45905,,22555,,,,
,,6819,,,,14839,55441,12137,,22024,,22555,,,,
,,9860,,,,53930,53461,41967,,43023,,16882,,,,
,,43333,,,,17073,48739,5138,,34639,,17554,,,,
,,12660,,,,43861,54158,51612,,25587,,13625,,,,
,,6341,,,,53462,50264,14082,,53223,,37663,,,,
,,54560,,,,36253,18481,14251,,52377,,28259,,,,
,,6975,,,,56047,54363,36738,,7121,,28872,,,,
,,56086,,,,10228,55422,27772,,42846,,44834,,,,
,,39623,,,,24988,24743,20441,,37933,,51869,,,,
,,33330,,,,24823,14438,26894,,47328,,31060,,,,
,,48040,,,,12276,55177,17573,,49485,,28868,,,,
,,56127,,,,24127,16944,20705,,36061,,17549,,,,
,,31074,,,,15725,50947,33083,,48801,,57222,,,,
,,37945,,,,37382,53658,42377,,29955,,13346,,,,
,,50770,,,,51465,58264,5423,,26166,,16701,,,,
,,7503,,,,53185,46194,35209,,28869,,24480,,,,
,,48689,,,,19898,56194,18404,,38637,,32824,,,,
,,3220,,,,58049,15090,42695,,57977,,12008,,,,
,,17622,,,,38836,37393,44199,,45224,,28086,,,,
,,49050,,,,43017,53068,28168,,35716,,28120,,,,
,,20786,,,,35905,36278,23211,,16920,,30171,,,,
,,41384,,,,25317,48755,41969,,48188,,52415,,,,
,,55888,,,,41106,48831,34918,,25198,,19563,,,,
,,35264,,,,31465,25120,13190,,48934,,55477,,,,
,,18731,,,,54471,45453,39173,,43175,,41239,,,,
,,48036,,,,2367,53484,26418,,19524,,29216,,,,
,,14221,,,,10293,13976,18543,,37099,,11430,,,,
,,56098,,,,25671,18272,15150,,50697,,37522,,,,
,,48425,,,,40544,54139,38074,,19039,,13696,,,,
,,21115,,,,46771,52305,17267,,57040,,22968,,,,
,,52985,,,,54386,53529,55265,,51706,,48496,,,,
,,25999,,,,53171,48859,36001,,53471,,13214,,,,
,,52633,,,,55206,37895,27970,,45221,,33284,,,,
,,45123,,,,55058,53913,18873,,36379,,13386,,,,
,,3675,,,,50492,54123,31939,,45216,,57495,,,,
,,7186,,,,51130,33100,15635,,44168,,50771,,,,
,,18436,,,,36453,26786,24915,,44069,,19327,,,,
,,6079,,,,29799,37620,46631,,35802,,19544,,,,
,,47175,,,,15353,46854,43782,,37819,,44157,,,,
,,41305,,,,58375,20316,57584,,22026,,38163,,,,
,,4601,,,,15633,35056,38883,,49523,,42815,,,,
,,54960,,,,30716,48658,12487,,51399,,56000,,,,
,,58342,,,,25320,14719,17911,,6887,,19326,,,,
